153,mysql,set,bigquery,array
154,mysql,bit,postgres,bit
155,mysql,bool,postgres,boolean
156,mysql,boolean,postgres,boolean
157,mysql,smallint,postgres,smallint
158,mysql,smallint unsigned,postgres,smallint
159,mysql,tinyint unsigned,postgres,smallint
160,mysql,bigint,postgres,bigint
161,mysql,mediumint,postgres,integer
162,mysql,mediumint unsigned,postgres,integer
163,mysql,int,postgres,integer
164,mysql,integer,postgres,integer
165,mysql,year,postgres,integer
166,mysql,float,postgres,real
167,mysql,double,postgres,decimal
168,mysql,decimal,postgres,decimal
169,mysql,double precision,postgres,double precision
170,mysql,varchar,postgres,character varying
171,mysql,char,postgres,character
172,mysql,tinytext,postgres,text
173,mysql,text,postgres,text
174,mysql,mediumtext,postgres,text
175,mysql,tinyblob,postgres,bytea
176,mysql,blob,postgres,bytea
177,mysql,mediumblob,postgres,bytea
178,mysql,enum,postgres,enum
179,mysql,set,postgres,set
180,mysql,date,postgres,date
181,mysql,datetime,postgres,timestamp
182,mysql,timestamp,postgres,timestamp
183,mysql,time,postgres,timestamp
184,mysql,CHAR,snowflake,CHAR
185,mysql,VARCHAR,snowflake,VARCHAR
186,mysql,TINYTEXT,snowflake,TEXT
187,mysql,TEXT,snowflake,TEXT
188,mysql,LONGTEXT,snowflake,TEXT
189,mysql,ENUM,snowflake,TEXT
190,mysql,BINARY,snowflake,BINARY
191,mysql,VARBINARY,snowflake,VARBINARY
192,mysql,BLOB,snowflake,VARBINARY
193,mysql,BOOLEAN,snowflake,BOOLEAN
194,mysql,BIT,snowflake,BOOLEAN
195,mysql,BOOL,snowflake,BOOLEAN
196,mysql,INT,snowflake,INTEGER
197,mysql,INT UNSIGNED,snowflake,INTEGER
198,mysql,INTEGER,snowflake,INTEGER
199,mysql,MEDIUMINT,snowflake,INTEGER
200,mysql,MEDIUMINT UNSIGNED,snowflake,INTEGER
201,mysql,TINYINT,snowflake,TINYINT
202,mysql,TINYINT UNSIGNED,snowflake,TINYINT
203,mysql,SMALLINT,snowflake,SMALLINT
204,mysql,SMALLINT UNSIGNED,snowflake,SMALLINT
205,mysql,YEAR,snowflake,SMALLINT
206,mysql,BIGINT,snowflake,BIGINT
207,mysql,BIGINT UNSIGNED,snowflake,BIGINT
208,mysql,FLOAT,snowflake,FLOAT
209,mysql,DOUBLE,snowflake,DOUBLE
210,mysql,DOUBLE PRECISION,snowflake,DOUBLE PRECISION
211,mysql,DECIMAL,snowflake,DECIMAL
212,mysql,DEC,snowflake,DECIMAL
213,mysql,TIMESTAMP,snowflake,TIMESTAMP
214,mysql,DATE,snowflake,DATE
215,mysql,DATETIME,snowflake,DATETIME
216,mysql,TIME,snowflake,TIME
217,mysql,GEOMETRY,snowflake,GEOGRAPHY
218,mysql,SET,snowflake,ARRAY
219,bigquery,STRING,kinetica,string
220,bigquery,BOOLEAN,kinetica,string
221,bigquery,BOOL,kinetica,string
222,bigquery,TIMESTAMP,kinetica,timestamp
223,bigquery,INT64,kinetica,int
224,bigquery,FLOAT64,kinetica,double
225,bigquery,DATE,kinetica,date
226,bigquery,DATETIME,kinetica,datetime
