131;;mysql;;polygon;;kinetica;;geometry
132;;mysql;;tinyint;;kinetica;;int8
133;;mysql;;bit;;kinetica;;int8
134;;mysql;;tinyint unsigned;;kinetica;;int8
135;;mysql;;smallint;;kinetica;;int16
136;;mysql;;smallint unsigned;;kinetica;;int16
137;;mysql;;mediumint;;kinetica;;int
138;;mysql;;int unsigned;;kinetica;;int
139;;mysql;;mediumint unsigned;;kinetica;;int
140;;mysql;;int;;kinetica;;int
141;;mysql;;integer;;kinetica;;int
142;;mysql;;bigint;;kinetica;;long
143;;mysql;;bigint unsigned;;kinetica;;long
144;;mysql;;float;;kinetica;;float
145;;mysql;;float unsigned;;kinetica;;float
146;;mysql;;double;;kinetica;;double
147;;mysql;;double precision;;kinetica;;double
148;;mysql;;decimal;;kinetica;;double
149;;mysql;;double unsigned;;kinetica;;double
150;;mysql;;date;;kinetica;;date
151;;mysql;;datetime;;kinetica;;datetime
152;;mysql;;time;;kinetica;;time
153;;mysql;;binary;;kinetica;;bytes
154;;mysql;;varbinary;;kinetica;;bytes
155;;mysql;;timestamp;;kinetica;;timestamp
156;;mysql;;char;;bigquery;;string
157;;mysql;;varchar;;bigquery;;string
158;;mysql;;tinytext;;bigquery;;string
159;;mysql;;text;;bigquery;;string
160;;mysql;;mediumtext;;bigquery;;string
161;;mysql;;enum;;bigquery;;string
162;;mysql;;longtext;;bigquery;;string
163;;mysql;;tinyblob;;bigquery;;bytes
164;;mysql;;blob;;bigquery;;bytes
165;;mysql;;mediumblob;;bigquery;;bytes
166;;mysql;;binary;;bigquery;;bytes
167;;mysql;;varbinary;;bigquery;;bytes
168;;mysql;;longblob;;bigquery;;bytes
169;;mysql;;tinyint;;bigquery;;tinyint
170;;mysql;;bit;;bigquery;;tinyint
171;;mysql;;tinyint unsigned;;bigquery;;tinyint
172;;mysql;;bool;;bigquery;;bool
173;;mysql;;boolean;;bigquery;;boolean
174;;mysql;;smallint;;bigquery;;smallint
175;;mysql;;smallint unsigned;;bigquery;;smallint
176;;mysql;;mediumint;;bigquery;;int
177;;mysql;;mediumint unsigned;;bigquery;;int
178;;mysql;;int;;bigquery;;int
179;;mysql;;year;;bigquery;;int
180;;mysql;;integer;;bigquery;;int64
181;;mysql;;int unsigned;;bigquery;;int64
182;;mysql;;bigint unsigned;;bigquery;;int64
183;;mysql;;bigint;;bigquery;;bigint
184;;mysql;;float;;bigquery;;float64
185;;mysql;;float unsigned;;bigquery;;float64
186;;mysql;;double unsigned;;bigquery;;float64
187;;mysql;;double;;bigquery;;decimal
188;;mysql;;double precision;;bigquery;;decimal
189;;mysql;;geometry;;bigquery;;geography
190;;mysql;;point;;bigquery;;geography
191;;mysql;;linestring;;bigquery;;geography
192;;mysql;;polygon;;bigquery;;geography
193;;mysql;;decimal;;bigquery;;bigdecimal
194;;mysql;;date;;bigquery;;date
195;;mysql;;datetime;;bigquery;;datetime
196;;mysql;;timestamp;;bigquery;;timestamp
197;;mysql;;time;;bigquery;;timestamp
198;;mysql;;json;;bigquery;;json
199;;mysql;;set;;bigquery;;array
200;;mysql;;bit;;postgres;;bit
201;;mysql;;bool;;postgres;;boolean
202;;mysql;;boolean;;postgres;;boolean
203;;mysql;;smallint;;postgres;;smallint
204;;mysql;;smallint unsigned;;postgres;;smallint
205;;mysql;;tinyint unsigned;;postgres;;smallint
206;;mysql;;bigint;;postgres;;bigint
207;;mysql;;bigint unsigned;;postgres;;bigint
208;;mysql;;mediumint;;postgres;;integer
209;;mysql;;mediumint unsigned;;postgres;;integer
210;;mysql;;int;;postgres;;integer
211;;mysql;;integer;;postgres;;integer
212;;mysql;;year;;postgres;;integer
213;;mysql;;int unsigned;;postgres;;integer
214;;mysql;;float;;postgres;;real
215;;mysql;;float unsigned;;postgres;;real
216;;mysql;;double;;postgres;;decimal
217;;mysql;;decimal;;postgres;;decimal
218;;mysql;;double unsigned;;postgres;;decimal
219;;mysql;;double precision;;postgres;;double precision
220;;mysql;;point;;postgres;;point
221;;mysql;;linestring;;postgres;;lseg
222;;mysql;;polygon;;postgres;;polygon
223;;mysql;;varchar;;postgres;;character varying
224;;mysql;;char;;postgres;;character
